Localisation,Superficie Ha,Classe,Pierre,Matériaux périssables,Mixte,Séparation,nb,Balnéaire,Bât. Stabulation,Grenier vide san,Grenier sur poteau,Moulin Grand format,Séchoir,Four à chaux,Bac à chaux,Forge,Four terre cuite,Faux,Râteau,Herminette,Poinçon,Lime,Hache,Marteau,Alène,Aiguille,Echardon.,Tarière,Faucille,Sonnaille,Fusaïole,araire,Scie,Forces,Serpette,Ciseau (bois),Fourche
"Quetigny, Bois de Pierre","0,2",1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sées, Grand-Herbage","0,3",1,0,0,1,0,16,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Alpnach, -","0,4",1,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"Bohain-en-Vermandois, ZAC du Moulin Mayeux","0,45",1,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mer, Beaudisson","0,5",1,1,0,0,1,14,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
"Varennes-sur-Seine, Marais du Colombier","0,5",1,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"Saint-Apollinaire, Sur le Petit Pré","0,7",2,0,0,1,1,11,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Roissy-en-France, Le Moulin - La Croix de Montmorency","0,75",2,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Gonesse, ZAC des Tulipes sud","0,9",2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"Grimault, La Tête de Fer","0,9",2,1,0,0,1,13,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"Newel, Im Kessel","0,98",2,1,0,0,1,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1
"Chaucenne, La corvée",1,2,1,0,0,1,21,/,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
